year,name,pitcher_id,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
2024,"Smith, Cade",671922,96,,,,,,88.4,,82.1,
2024,"Hader, Josh",623352,,96.1,,85.5,89.3,,,,,
2024,"Scott, Tanner",656945,97,,,88.5,92,,,,,
2024,"Vest, Will",676684,96.1,94.9,,86.9,89,,,,,
2024,"Strickland, Hunter",519326,94.2,92.6,84,85.1,88.1,,,,81.5,
2024,"Sands, Cole",663485,95.7,94.8,90.8,,,82.4,87.8,,,
2024,"Brieske, Beau",689225,95.9,95.5,,86.1,88.4,,,,,
2024,"Knack, Landon",689017,93.5,,,85.1,84.2,79.6,,,84.8,
2024,"Kelly, Merrill",518876,91.9,92.3,90.3,85.6,88.4,82.2,,,,
2024,"Kopech, Michael",656629,98.7,,91.2,87.1,,,,,,
2024,"Thornton, Trent",663423,95.5,94.8,91.5,89.8,87.9,82.3,,,81.8,
2024,"Cruz, Fernando",518585,94.6,,88.6,,,,81.5,,,
2024,"Blach, Ty",621389,89.1,89.3,82.9,85,80,79.2,,,,
2024,"Houser, Adrian",605288,93.6,92.5,,83.2,84.1,79.6,,,,
2024,"Chapman, Aroldis",547973,97.8,99.8,,87,,,91.6,,,
2024,"De Los Santos, Enyel",660853,95.5,,,86.4,87.6,,,,,
2024,"Barnes, Jacob",606930,95.4,,89.8,83.7,,,,,,
2024,"Doval, Camilo",666808,,97.6,99.1,88.8,,,,,,
2024,"Armstrong, Shawn",542888,93.3,93.6,90.5,83.5,,,,,85.1,
2024,"Adam, Jason",592094,95.5,,,84.5,89.5,,,,78.9,
2024,"Vesia, Alex",681911,93.4,,,85,85.5,,,,,
2024,"Santana, Dennis",642701,95.7,95.1,90.4,87.1,88.5,,,,,
2024,"Festa, David",701581,94.7,,,86.1,88.4,,,,,
2024,"Cronin, Declan",686539,93.9,93.4,,87.1,,,,,81.6,
2024,"Bellozo, Valente",678368,89.2,,82.8,,81.1,73.7,,,77.7,
2024,"Jimenez, Joe",641729,94.5,,,84.6,89,,,,,
2024,"Kerkering, Orion",689147,97.6,96.4,,,,,,,86.2,
2024,"Holmes, Clay",605280,97.7,96.6,,87.1,,,,,83.7,
2024,"Luzardo, Jesus",666200,95.2,94.6,,83.5,86.3,81.6,,,,
2024,"Rogers, Taylor",573124,,93,,,,,,,79.3,
2024,"Lawrence, Justin",664875,,94.6,,,,,,,83,
2024,"Maton, Phil",664208,,87.5,88.7,85.5,,74.7,,,80.9,
2024,"Wesneski, Hayden",669713,94.6,93.5,88.1,,87.2,,,,82.4,
2024,"Gaddis, Hunter",683769,95.4,,,89.1,80.3,,,,,
2024,"Contreras, Roansy",672710,94.7,94.5,,85,89,77.9,,,82.9,
2024,"Jax, Griffin",643377,97.1,96.7,,,92.3,86.5,,,88.8,
2024,"Finnegan, Kyle",640448,97.2,,,85.4,,,88.5,,,
2024,"Baumann, Mike",657508,96.5,95.6,,92.1,89.1,87.8,,,,
2024,"Morejon, Adrian",670970,96.9,97.4,,86,,,86.2,,81.8,
2024,"Williams, Trevor",592866,88.9,87.7,,81.3,82.8,,,,77,
2024,"Dominguez, Seranthony",622554,97.7,98.1,,88.4,91.4,,,,,
2024,"Pearson, Nate",663878,97.7,97.3,,87.9,,80.9,88.3,,,
