player_id,player_name,team_name,year,p_base_runs_prevented,sb_opp,sb_att_rate,stolen_bases,caught_stealing,pickoffs,balks,forced_balks,base_advance_allowed,outs_created_on_bases,lead_dist_gain_all,prim_lead_dist_all,second_lead_dist_all,prim_lead_dist__sb_att,second_lead_dist_sb_att,lead_dist_gain_sb_att
676272,"Miller, Bobby",LAD,2024,-0.361179221,184,0.027173913,4,1,0,0,0,4,1,4.482740113,10.45159322,14.93433333,11.7274,24.3862,12.6588
676272,"Miller, Bobby",LAD,2023,-0.548140708,374,0.037433155,13,1,0,0,0,13,1,4.187863129,10.12123743,14.30910056,12.1165,23.11314286,10.99664286
543543,"Miller, Brad",TEX,2023,0.02679087,13,0,0,0,0,0,0,0,0,2.174923077,15.67915385,17.85407692,,,
682243,"Miller, Bryce",SEA,2023,0.6053477410142645,422,0.018957345971563982,5,3,1,0,0,5,4,3.986639304,10.25378856,14.24042786,11.725375,21.812875,10.0875
682243,"Miller, Bryce",SEA,2024,-0.420576558,428,0.03271028,7,7,0,0,0,7,7,4.374903226,10.21511414,14.59001737,12.21735714,23.84828571,11.63092857
669062,"Miller, Erik",SF,2024,0.099413482,252,0.027777777777777776,6,1,0,0,0,6,1,2.081538135,10.50903814,12.59057627,11.46742857,21.72485714,10.25742857
502522,"Miller, Justin",COL,2016,-0.275389373,155,0.032258065,5,0,0,1,0,6,0,4.69952518,10.65056115,15.35008633,11.388,23.2748,11.8868
502522,"Miller, Justin",WSH,2019,0.29562371947108185,50,0.06,0,3,0,0,0,0,3,5.48535,10.82255,16.3079,10.82433333,20.81,9.985666667
502522,"Miller, Justin",WSH,2018,-0.077442581,157,0.031847134,5,0,0,0,0,5,0,4.550825757,10.37679546,14.92762121,11.5022,21.8688,10.3666
502522,"Miller, Justin",STL,2021,0.036804068,57,0,0,0,0,0,0,0,0,2.866339623,10.34326415,13.20960377,,,
695243,"Miller, Mason",OAK,2023,0.014474147154022479,146,0.020547945,1,2,0,0,0,1,2,4.514452555,9.661036496,14.17548905,11.00166667,21.85833333,10.85666667
695243,"Miller, Mason",OAK,2024,-0.12540842,170,0.017647059,3,0,0,0,0,3,0,4.784403614,10.27531325,15.05971687,12.121,22.98233333,10.86133333
680911,"Miller, Owen",MIL,2024,0.003106695,5,0,0,0,0,0,0,0,0,3.149,8.807,11.956,,,
668943,"Miller, Ryan",LAA,2024,0.094802975,46,0.043478260869565216,1,1,0,0,0,1,1,3.501244445,9.738222222,13.23946667,11.3815,20.3215,8.94
571946,"Miller, Shelby",SF,2022,-0.001572898,23,0,0,0,0,0,0,0,0,5.615545455,10.41418182,16.02972727,,,
571946,"Miller, Shelby",DET,2024,0.048567928561388064,100,0.02,2,0,0,0,0,2,0,5.335702381,9.810964286,15.14666667,11.8035,24.1345,12.331
571946,"Miller, Shelby",AZ,2017,-0.242703692,63,0.015873015873015872,1,0,0,1,0,2,0,4.344644068,11.0060339,15.35067797,11.748,25.78,14.032
571946,"Miller, Shelby",LAD,2023,-0.629020003,92,0.076086957,7,0,0,0,0,7,0,4.505344828,10.47150575,14.97685058,11.20614286,23.39914286,12.193
571946,"Miller, Shelby",PIT,2021,0.002396284,59,0.016949153,0,1,0,0,0,0,1,3.870789474,10.59047368,14.46126316,11.127,20.599,9.472
571946,"Miller, Shelby",TEX,2019,-0.028821621,196,0.020408163,4,0,0,0,0,4,0,4.339751445,10.70322543,15.04297688,11.79725,23.12325,11.326
571946,"Miller, Shelby",AZ,2016,0.026655306,378,0.023809523809523808,6,3,0,0,0,6,3,4.904625,10.64856845,15.55319345,10.72377778,20.22377778,9.5
571946,"Miller, Shelby",AZ,2018,-0.011179082,53,0,0,0,0,0,0,0,0,4.268816326,10.77444898,15.04326531,,,
