player_id,name,team_name,year,sb_attempts,catcher_stealing_runs,caught_stealing_above_average,n_cs,rate_cs,est_cs_pct,cs_aa_per_throw,seasonal_runner_speed,runner_distance_from_second,pop_time,exchange_time,arm_strength,n_xcs_with_flight_over_xcs,n_xcs_with_exchange_over_xcs,n_xcs_with_accuracy_over_xcs,n_xcs_with_ground_other_over_xcs,n_xcs_with_onfly_other_over_xcs,n_xcs_with_untracked_other_over_xcs
545358,"Stassi, Max",HOU,2018,31,-0.053106599,-0.081702459,10,0.3225806451612903,0.32521620836792803,-0.002635563,27.83870968,55.92336322717369,2.089458333,0.777956522,77.58272727,-1.153273175,-1.264543497,-0.163638937,-0.406981781,2.9946361432416793,-0.087901212
545358,"Stassi, Max",HOU,2017,2,0.47114987640207323,0.7248459636954973,1,0.5,0.13757701815225137,0.3624229818477486,27.85,53.02928715,2.021,0.767,78.702,-0.00663722,-0.059079405,0.092926484,0,0.6976361039810735,0
545358,"Stassi, Max",HOU,2016,2,-0.186513897,-0.286944456,0,0,0.1434722281805886,-0.143472228,29.1,53.79617490372783,2.032,0.677,80.078,0.014117147808005104,0.15417309125175335,0.2728185234597065,0,-0.728053219,0
673237,"Diaz, Yainer",HOU,2023,36,2.3747735270811705,3.6534977339710313,10,0.2777777777777778,0.17629172961191583,0.10148604816586194,28.25555556,54.12501258299622,1.9025,0.6935,85.01935781,3.7056588045857137,-1.350217438,1.4417513447358772,-0.336819403,0.19312442564556342,0
673237,"Diaz, Yainer",HOU,2024,79,1.6795954025732844,2.583992927035822,19,0.2405063291139241,0.20779755788562249,0.032708771,28.19240506,55.78295048145038,1.963647887,0.730352113,84.38921254,8.041413221063097,-5.884201959,4.078977447706567,0.8303798277601303,-4.482575611,0
594828,"Gattis, Evan",HOU,2016,17,2.5344053399788256,3.8990851384289624,9,0.5294117647058824,0.3000538153865316,0.22935794931935072,27.88235294,57.31402661129127,2.01325,0.822833333,83.309,1.3989303882914483,-0.879951161,1.6593914671931687,0.6658467601512871,1.2715883007800584,-0.216720617
594828,"Gattis, Evan",HOU,2017,31,-3.648315777,-5.612793503,4,0.12903225806451613,0.31009011299358835,-0.181057855,28.11290323,56.859393292393705,2.095181818,0.799952381,80.64968182,0.7459792544077073,-2.695914209,-1.677502491,-0.58198513,-1.403370928,0
488771,"Castro, Jason",HOU,2022,13,-0.252611409,-0.388632936,3,0.23076923076923078,0.2606640720252303,-0.029894841,27.8,55.898209434354904,1.969363636,0.714454545,79.11889091,0.059154891545024235,0.4283109027700253,0.6024634972572056,0,-1.196902836,-0.281659392
488771,"Castro, Jason",HOU,2021,19,-0.321662034,-0.494864668,3,0.15789473684210525,0.18394024569533846,-0.026045509,28.18947368,57.05117281995139,1.965181818,0.720545455,78.69646455,0.17769495,-0.547397578,-0.638833813,0.6212379967324225,-0.107566224,0
488771,"Castro, Jason",HOU,2016,38,-0.806386749,-1.240594998,10,0.2631578947368422,0.2958051315247231,-0.032647237,27.47631579,55.272632157537785,2.017,0.76762963,81.29796296,1.388230784318462,-1.067210613,-0.647560978,0.26149566932745916,-1.61258546,0.43703559925782276
518542,"Centeno, Juan",HOU,2017,10,-0.558932081,-0.85989551,1,0.1,0.1859895509734642,-0.085989551,27.54,54.33016192507786,1.991833333,0.6565,77.89583333,-0.163362599,0.39070933137249625,0.5562211875540746,-0.289690983,-1.353772447,0
435263,"McCann, Brian",HOU,2017,39,-4.420903378,-6.801389812,4,0.10256410256410259,0.2769587131373733,-0.174394611,27.8974359,56.74959533616181,2.095952381,0.797,75.60938095,-1.998285836,-1.829975878,-2.637875321,-0.082914063,-0.252338715,0
435263,"McCann, Brian",HOU,2018,20,-1.553859276,-2.390552732,5,0.25000000000000006,0.3695276365919934,-0.119527637,28.035,57.653625770373644,2.0824,0.834333333,75.53446667,-1.518811219,-1.385358639,-0.286739768,0.9385630355465289,0.3253932501575919,-0.463599392
572863,"Garneau, Dustin",HOU,2020,12,-2.023295238,-3.112761904,1,0.083333333,0.3427301586694974,-0.259396825,27.71666667,56.83125309391293,1.974,0.707222222,76.89129,-0.164709363,-0.395760345,-1.327522489,-0.590578856,-0.634190851,0
663967,"Salazar, Cesar",HOU,2024,2,0.5164743520274965,0.7945759261961485,1,0.5,0.10271203690192572,0.3972879630980743,27.35,55.03040515364546,1.941,0.566,76.63766,-0.034292945,0.17820975836264208,0.2930120497517031,0,0.3576470628029662,0
